"Title","CPI WEIGHTS 09.1.1 : Reception and reproduction of sound and pictures"
"CDID","CJYC"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Parts per 1000"
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"1988","15.0000"
"1989","13.0000"
"1990","13.0000"
"1991","13.0000"
"1992","13.0000"
"1993","12.0000"
"1994","11.0000"
"1995","11.0000"
"1996","8.0000"
"1997","8.0000"
"1998","6.0000"
"1999","5.0000"
"2000","7.0000"
"2001","8.0000"
"2002","7.0000"
"2003","7.0000"
"2004","6.0000"
"2005","6.0000"
"2006","6.0000"
"2007","6.0000"
"2008","6.0000"
"2009","6.0000"
"2010","7.0000"
"2011","6.0000"
"2012","6.0000"
"2013","6.0000"
"2014","5.0000"
"2015","5.0000"
"2016","5.0000"
"2017","4.0000"
"2018","5.0000"
"2019","5.0000"
"2020","4.0000"
"2021","7.0000"
"2022","6.0000"
"2023","5.0000"
"2024","3.0491"
"2025","3.4130"
"2026","2.4295"
