"Title","CPI WEIGHTS 06.1.2/3 Other medical and therapeutic equipment"
"CDID","CJYH"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Parts per 1000"
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"1995","4.0000"
"1996","4.0000"
"1997","5.0000"
"1998","5.0000"
"1999","5.0000"
"2000","3.0000"
"2001","4.0000"
"2002","5.0000"
"2003","6.0000"
"2004","6.0000"
"2005","6.0000"
"2006","6.0000"
"2007","5.0000"
"2008","5.0000"
"2009","4.0000"
"2010","4.0000"
"2011","5.0000"
"2012","4.0000"
"2013","4.0000"
"2014","4.0000"
"2015","5.0000"
"2016","5.0000"
"2017","5.0000"
"2018","4.0000"
"2019","5.0000"
"2020","5.0000"
"2021","7.0000"
"2022","3.0000"
"2023","4.0000"
"2024","3.6661"
"2025","3.3873"
"2026","3.2140"
