"Title","CPI WEIGHTS 05.3.1/2 Major appliances and small electric goods"
"CDID","CJXI"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Parts per 1000"
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"1988","19.0000"
"1989","18.0000"
"1990","17.0000"
"1991","14.0000"
"1992","15.0000"
"1993","12.0000"
"1994","13.0000"
"1995","12.0000"
"1996","11.0000"
"1997","11.0000"
"1998","11.0000"
"1999","12.0000"
"2000","11.0000"
"2001","10.0000"
"2002","8.0000"
"2003","8.0000"
"2004","9.0000"
"2005","7.0000"
"2006","8.0000"
"2007","7.0000"
"2008","8.0000"
"2009","8.0000"
"2010","8.0000"
"2011","8.0000"
"2012","8.0000"
"2013","8.0000"
"2014","8.0000"
"2015","7.0000"
"2016","7.0000"
"2017","7.0000"
"2018","8.0000"
"2019","9.0000"
"2020","8.0000"
"2021","10.0000"
"2022","13.0000"
"2023","11.0000"
"2024","9.0184"
"2025","9.3028"
"2026","9.8906"
